date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,FALSE
1873-03-08,England,Scotland,4,2,Friendly,London,England,FALSE
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,FALSE
1875-03-06,England,Scotland,2,2,Friendly,London,England,FALSE
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,FALSE
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,FALSE
1877-03-03,England,Scotland,1,3,Friendly,London,England,FALSE
1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,FALSE
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,FALSE
1927-11-07,Honduras,El Salvador,1,0,Friendly,Tegucigalpa,Honduras,FALSE
1928-12-07,El Salvador,Honduras,5,0,Friendly,San Salvador,El Salvador,FALSE
1923-05-24,Japan,China,1,5,Friendly,Osaka,Japan,FALSE
1923-05-27,Czechoslovakia,Italy,5,1,Friendly,Prague,Czechoslovakia,FALSE
1923-12-09,Mexico,Guatemala,2,1,Friendly,Mexico City,Mexico,FALSE
1923-12-12,Mexico,Guatemala,2,0,Friendly,Mexico City,Mexico,FALSE
1923-12-16,Mexico,Guatemala,3,3,Friendly,Mexico City,Mexico,FALSE
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,TRUE
1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,TRUE
